trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
137,False,"{'a': 0.5, 'e': 0.06457034689316847}",30,10,26.87076771704582,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.0632917683596407}",25,16,4.137433553091313,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.06203850737735829}",20,5,25.5199954033406,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.06081006262521795}",20,0,31.971782723451703,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
141,False,"{'a': 0.5, 'e': 0.05960594270893937}",25,7,33.90902659466884,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.05842566596450083}",25,10,30.302965148224576,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.05726876026546736}",30,21,15.063364309968673,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.056134762834133725}",20,10,15.723072434428325,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.05502322005640723}",30,12,36.92925005870375,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.05393368730035602}",20,10,20.422809497499877,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.05286572873835037}",20,9,22.401656437099735,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.05181891717272583}",25,7,-9.675192941433027,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
149,False,"{'a': 0.5, 'e': 0.0507928338648985}",25,15,19.684610822775763,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.049787068367863944}",20,7,19.95566511767093,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.04880121836201296}",20,0,32.93292871045104,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
152,False,"{'a': 0.5, 'e': 0.04783488949419837}",20,14,11.362388442345555,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.046887695219988486}",20,6,22.250159640749132,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.045959256649044204}",20,13,10.215342511544627,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.0450492023935578}",30,13,-1.3564833031547228,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.04415716841969286}",25,13,2.5613426007227824,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.043282797901965896}",25,20,12.10419147823053,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.042425741080511385}",25,11,20.3491082898681,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.04158565512117316}",20,10,17.014787131172223,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.04076220397836621}",20,12,11.714582447466176,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.039955058260653896}",20,3,15.040361526628267,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.039163895098987066}",25,9,21.07380500560345,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.038388398017552054}",20,2,29.00960834560694,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.0376282568071762}",20,5,27.466323806312467,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.036883167401239994}",35,9,33.400460017567376,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.03615283175404641}",25,11,-18.707016809670424,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
167,False,"{'a': 0.5, 'e': 0.03543695772159864}",25,11,26.156397085443626,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.03473525894473856}",20,11,17.42295970410201,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.034047454734599344}",30,16,23.89421545531606,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.03337326996032608}",25,17,15.45989929139507,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.03271243493901982}",20,10,16.446196129557272,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.03206468532786077}",20,3,23.530408800405873,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.03142976201836771}",25,18,15.590861891720564,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.030807411032751076}",35,21,5.067826735035318,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.0301973834223185}",20,11,13.99809388698473,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.029599435167892}",30,16,28.387751336131817,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.029013327082197053}",30,10,37.95522595199872,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.028438824714184505}",25,15,3.566467885935307,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.027875698255247015}",20,10,5.727432184209099,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.02732372244729256}",25,0,35.57511474693483,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
181,False,"{'a': 0.5, 'e': 0.026782676492638175}",25,9,28.856073161959216,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.02625234396568796}",20,6,24.7837850593689,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.02573251272635994}",25,9,14.23359982178106,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
184,False,"{'a': 0.5, 'e': 0.025222974835227212}",30,13,32.11132448445077,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.5, 'e': 0.024723526470339388}",20,12,15.468653418557043,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.5, 'e': 0.024233967845691113}",20,8,21.399456613799142,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.5, 'e': 0.023754103131304997}",30,22,18.11816465143883,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.5, 'e': 0.023283740374897}",20,0,29.23150715973019,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
189,False,"{'a': 0.5, 'e': 0.02282269142509297}",35,11,43.58653871997401,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.5, 'e': 0.02237077185616559}",25,16,-7.697178540792397,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
191,False,"{'a': 0.5, 'e': 0.02192780089426161}",25,13,23.406734683181778,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.5, 'e': 0.021493601345089923}",20,9,5.078152496608505,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
193,False,"{'a': 0.5, 'e': 0.021067999523041434}",30,20,21.808879320454615,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.5, 'e': 0.020650825181712566}",25,3,35.12710751671081,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.5, 'e': 0.02024191144580439}",25,15,16.336464075153422,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.5, 'e': 0.019841094744370288}",20,14,12.473676930017138,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,21,16.555218351915403,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,14,24.288121859125464,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,9,26.574803939551046,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,8,19.648258917054342,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,17,15.6279068358325,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,12,15.173808371857445,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,8,22.569367660671602,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,17,17.21467899537139,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,7,25.82562547352885,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,13,15.242429959649996,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
